Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-4.9860218300,µg/m3,2019-01-14 09:00:00 +01:00,2019-01-14 10:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-5.4448723700,µg/m3,2019-01-14 10:00:00 +01:00,2019-01-14 11:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-5.5106342200,µg/m3,2019-01-14 11:00:00 +01:00,2019-01-14 12:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-5.9325394800,µg/m3,2019-01-14 12:00:00 +01:00,2019-01-14 13:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-5.9650494600,µg/m3,2019-01-14 13:00:00 +01:00,2019-01-14 14:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1785894800,µg/m3,2019-01-14 14:00:00 +01:00,2019-01-14 15:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1209560500,µg/m3,2019-01-14 15:00:00 +01:00,2019-01-14 16:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1194784200,µg/m3,2019-01-14 16:00:00 +01:00,2019-01-14 17:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.3943447400,µg/m3,2019-01-14 17:00:00 +01:00,2019-01-14 18:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.3743947400,µg/m3,2019-01-14 18:00:00 +01:00,2019-01-14 19:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2199665700,µg/m3,2019-01-14 19:00:00 +01:00,2019-01-14 20:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.6049284200,µg/m3,2019-01-14 20:00:00 +01:00,2019-01-14 21:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7963000000,µg/m3,2019-01-14 21:00:00 +01:00,2019-01-14 22:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.6928552600,µg/m3,2019-01-14 22:00:00 +01:00,2019-01-14 23:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7918665700,µg/m3,2019-01-14 23:00:00 +01:00,2019-01-15 00:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7357118500,µg/m3,2019-01-15 00:00:00 +01:00,2019-01-15 01:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7660060500,µg/m3,2019-01-15 01:00:00 +01:00,2019-01-15 02:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-7.4162284200,µg/m3,2019-01-15 02:00:00 +01:00,2019-01-15 03:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.9263447400,µg/m3,2019-01-15 03:00:00 +01:00,2019-01-15 04:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-7.0098389400,µg/m3,2019-01-15 04:00:00 +01:00,2019-01-15 05:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-7.0549113100,µg/m3,2019-01-15 05:00:00 +01:00,2019-01-15 06:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.8953113100,µg/m3,2019-01-15 06:00:00 +01:00,2019-01-15 07:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.8664947400,µg/m3,2019-01-15 07:00:00 +01:00,2019-01-15 08:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7741336800,µg/m3,2019-01-15 08:00:00 +01:00,2019-01-15 09:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7490105200,µg/m3,2019-01-15 09:00:00 +01:00,2019-01-15 10:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.7704389400,µg/m3,2019-01-15 10:00:00 +01:00,2019-01-15 11:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.6743836800,µg/m3,2019-01-15 11:00:00 +01:00,2019-01-15 12:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.8339836800,µg/m3,2019-01-15 12:00:00 +01:00,2019-01-15 13:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.6876836800,µg/m3,2019-01-15 13:00:00 +01:00,2019-01-15 14:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.6647776300,µg/m3,2019-01-15 14:00:00 +01:00,2019-01-15 15:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.4778389400,µg/m3,2019-01-15 15:00:00 +01:00,2019-01-15 16:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-5.9251500000,µg/m3,2019-01-15 16:00:00 +01:00,2019-01-15 17:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1106113100,µg/m3,2019-01-15 17:00:00 +01:00,2019-01-15 18:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.0648000000,µg/m3,2019-01-15 18:00:00 +01:00,2019-01-15 19:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2539560500,µg/m3,2019-01-15 19:00:00 +01:00,2019-01-15 20:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2074060500,µg/m3,2019-01-15 20:00:00 +01:00,2019-01-15 21:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2598671100,µg/m3,2019-01-15 21:00:00 +01:00,2019-01-15 22:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1992776300,µg/m3,2019-01-15 22:00:00 +01:00,2019-01-15 23:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2096223700,µg/m3,2019-01-15 23:00:00 +01:00,2019-01-16 00:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2916381500,µg/m3,2019-01-16 00:00:00 +01:00,2019-01-16 01:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.4556723700,µg/m3,2019-01-16 01:00:00 +01:00,2019-01-16 02:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.3027231600,µg/m3,2019-01-16 02:00:00 +01:00,2019-01-16 03:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1608552600,µg/m3,2019-01-16 03:00:00 +01:00,2019-01-16 04:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.4017336800,µg/m3,2019-01-16 04:00:00 +01:00,2019-01-16 05:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2731665700,µg/m3,2019-01-16 05:00:00 +01:00,2019-01-16 06:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.4734052600,µg/m3,2019-01-16 06:00:00 +01:00,2019-01-16 07:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.1918889400,µg/m3,2019-01-16 07:00:00 +01:00,2019-01-16 08:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.0670171100,µg/m3,2019-01-16 08:00:00 +01:00,2019-01-16 09:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.2909000000,µg/m3,2019-01-16 09:00:00 +01:00,2019-01-16 10:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.3042000000,µg/m3,2019-01-16 10:00:00 +01:00,2019-01-16 11:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.4977889400,µg/m3,2019-01-16 11:00:00 +01:00,2019-01-16 12:00:00 +01:00,1,2
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE001DM,IE001DM,SPO.IE.IE001DMSample1_1,SPP.IE.IE001DMSample1_1,SAM.IE.IE001DMSAMPLE1,SO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1,hour,-6.4955718300,µg/m3,2019-01-16 12:00:00 +01:00,2019-01-16 13:00:00 +01:00,1,2
